MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
FrostleafPasteEffect_GameName,Frostleaf Paste Effect,フロストリーフペースト効果
FrostleafPasteEffect_Description,Alleviates inflamation and provides a mild numbing effect against pain.,炎症と痛みを和らげる。
FrostleafPasteEffect_Statuses[0].GameName,FrostLeaf Gel Applied,フロストリーフジェルを塗った
GingerEffect_GameName,Ginger,生姜
GingerEffect_Description,"Stabilizes your digestive system, increases your appetite and boosts your immune system.",消化器を安定させたり、食欲や免疫力をブーストしたりする。
GingerEffect_Statuses[0].GameName,Small Dose,少量
GingerEffect_Statuses[1].GameName,High Dose,大量
IfKidneys_GameName,if Kidneys,腎臓なら
IfKidneys_Statuses[0].GameName,No Kidneys,腎臓がない
IfKidneys_Statuses[1].GameName,Yes Kidneys,腎臓がある
InDarkPlace_GameName,In Dark Place,暗い場所にいる
InDarkPlace_Statuses[0].GameName,In Darkness,暗闇の中にいる
InDarkPlace_Statuses[0].Description,It's pitch black in here!,真っ暗で何も見えない！
InDarkPlace_NotEnoughText,Not enough fuel to start.,燃料が足りない。
Irrigated_GameName,Irrigated,水撒き　完了
Irrigated_NotEnoughText,Cannot be built here.,ここでは建てられない。
IsNight_GameName,IsNight,夜だ
IsNight_NotEnoughText,Only during deep Night.,深夜にのみ実行できる。
IsNight_TooMuchText,Only outside deep Night.,新訳に野外でのみ実行できる。
IsNightUnderOpenSky_Description,Moon is visible between 17:00 and 07:00 but only if OpenSky is on board,月は空が開けている場合に限り、17時から07時の間に見える。
IsNightUnderOpenSky_Statuses[0].GameName,Hide Moon Shape,月の形を隠す
IsNightUnderOpenSky_NotEnoughText,It's too dark for this action...,このアクションをするには暗すぎる・・・
JasmineEffect_GameName,Jasmine,ジャスミン
JasmineEffect_Description,"Relaxes you, lowering your stress and making you sleepy.",ストレスを減らし、眠くなる。
JasmineEffect_Statuses[0].GameName,Moderate Jasmine Effect,普通のジャスミン効果
JasmineEffect_Statuses[1].GameName,Strong Jasmine Effect,強いジャスミン効果
LandSickness_GameName,Land Sickness,陸酔い
LandSickness_Statuses[0].GameName,Mild Nausea,軽い吐き気
LandSickness_Statuses[1].GameName,Nausea,吐き気
LandSickness_Statuses[2].GameName,Strong Nausea,ひどい吐き気
LegProtection_GameName,Leg Protection,脚の保護
LegProtection_Description,Protect your legs from different types of damage.,脚を様々なダメージから防ぐ。
MeatHookButcheringBonus_Statuses[0].GameName,Meat Hook,ミートフック
ModifierTravel_GameName,Travel Modifier,トラベル調整
ModifierTravel_Statuses[0].GameName,Travel Modifier 1,トラベル調整１
ModifierTravel_Statuses[1].GameName,Travel Modifier 2,トラベル調整２
ModifierTravel_Statuses[2].GameName,Leg Modifier 3,トラベル調整３
ModifierTravel_NotEnoughText,My Leg is not in shape for this action.,脚の状態が悪く、この行動はできない。
MouseDamageCounter_GameName,Mouse Raid Counter,ネズミレイドカウンター
MouseDamageCounter_Statuses[0].GameName,Random Rate,ランダムなレート
MouseDamageCounter_Statuses[1].GameName,Final Rate,最終レート
MouseDamageCounter_NotEnoughText,It's too stormy to sleep!,嵐のせいで寝れない！
ModifierLeg_GameName,Movement Penalty,動きペナルティ
MovementPenalty_Description,Causes actions involving your legs to require more stamina and take additional time. Can compound with dexterity penalties for actions that involve both hands and legs.,脚を使うアクションに必要なスタミナの量とアクションの時間に影響する。手と脚の両方を使うアクションは器用さペナルティと重なる。
ModifierLeg_Statuses[0].GameName,Minor Movement Penalty,動きペナルティ（小）
MovementPenalty_Statuses[0].Description,Leg Actions cost extra stamina.,脚のアクションは追加でスタミナを消費する。
ModifierLeg_Statuses[1].GameName,Moderate Movement Penalty,動きペナルティ（中）
MovementPenalty_Statuses[1].Description,Leg Actions cost extra stamina and take longer.,脚のアクションは追加でスタミナを消費し、かかる時間が長い。
ModifierLeg_Statuses[2].GameName,Strong Movement Penalty,動きペナルティ（大）
MovementPenalty_Statuses[2].Description,Leg Actions cost extra stamina and take considerably longer.,脚のアクションは追加でスタミナを消費し、かかる時間がかなり長い。
ModifierLeg_NotEnoughText,My Leg is not in shape for this action.,脚の状態が悪く、この行動はできない。
MudProtection_GameName,Mud Applied,泥を塗った
MudProtection_Statuses[0].GameName,Mud Applied,泥を塗った
NerveDamageHands_GameName,Hand Nerve Damage,手の神経損傷
NerveDamageHands_Statuses[0].GameName,Nerve Pressure,神経圧迫
NerveDamageHands_Statuses[0].Description,Can damage my nerves if it gets too high.,高すぎると神経損傷になる可能性がある。
NerveDamageHands_Statuses[1].GameName,Nerve Pressure,神経圧迫
NerveDamageHands_Statuses[1].Description,Can damage my nerves if it gets too high.,高すぎると神経損傷になる可能性がある。
NerveDamageHands_NotEnoughText,Can't climb in this state.,この状態だと登れない。
NerveDamageHandsPermanent_GameName,Hand Nerve Damage,手の神経損傷
NerveDamageHandsPermanent_Statuses[0].GameName,Modifier 1,調整１
NerveDamageHandsPermanent_Statuses[1].GameName,Modifier 2,調整２
NerveDamageHandsPermanent_Statuses[2].GameName,Modifier 3,調整３
NerveDamageHandsPermanent_Statuses[3].GameName,Nerve Damage,神経損傷
NerveDamageHandsPermanent_Statuses[3].Description,Should slowly heal when I remove the tourniquet.,止血帯を外したらゆっくり回復するはず。
NerveDamageHandsPermanent_NotEnoughText,Can't climb in this state.,この状態だと登れない。
NerveDamageLegs_GameName,Leg Nerve Damage,脚の神経損傷
NerveDamageLegs_Statuses[0].GameName,Nerve Pressure,神経圧迫
NerveDamageLegs_Statuses[0].Description,Can damage my nerves if it gets too high.,高すぎると神経損傷になる可能性がある。
NerveDamageLegs_Statuses[1].GameName,Nerve Pressure,神経圧迫
NerveDamageLegs_Statuses[1].Description,Can damage my nerves if it gets too high.,高すぎると神経損傷になる可能性がある。
NerveDamageLegs_NotEnoughText,Can't climb in this state.,この状態だと登れない。
NerveDamageLegsPermanent_GameName,Leg Nerve Damage,脚の神経損傷
NerveDamageLegsPermanent_Statuses[0].GameName,Modifier 1,修飾子１
NerveDamageLegsPermanent_Statuses[1].GameName,Modifier 2,修飾子２
NerveDamageLegsPermanent_Statuses[2].GameName,Modifier 3,修飾子３
NerveDamageLegsPermanent_Statuses[3].GameName,Nerve Damage,神経損傷
NerveDamageLegsPermanent_Statuses[3].Description,Should slowly heal when I remove the tourniquet.,止血帯を外したらゆっくり回復するはず。
NerveDamageLegsPermanent_NotEnoughText,Can't climb in this state.,この状態だと登れない。
NoRainCounter_GameName,NoRain counter,雨ないカウンター
NoRainCounter_Description,Rain counter,雨カウンター
InsulationCold_GameName,Cold Insulation,保冷力
InsulationCold_Description,Protects you against the effects of Hypothermia.,低体温症を防ぐ。
InsulationCold_Statuses[0].GameName,Lvl 1,Lvl 1
InsulationCold_Statuses[1].GameName,Lvl 2,Lvl 2
InsulationCold_Statuses[2].GameName,Lvl 3,Lvl 3
InsulationCold_Statuses[3].GameName,Lvl 4,Lvl 4
InsulationCold_Statuses[4].GameName,Lvl 5,Lvl 5
InsulationHeat_GameName,Heat Insulation,断熱性
InsulationHeat_Description,Protects you against the effects of Hyperthermia.,低体温症を防ぐ。
InsulationHeat_Statuses[0].GameName,Lvl 1,Lvl 1
InsulationHeat_Statuses[1].GameName,Lvl 2,Lvl 2
InsulationHeat_Statuses[2].GameName,Lvl 3,Lvl 3
InsulationHeat_Statuses[3].GameName,Lvl 4,Lvl 4
InsulationHeat_Statuses[4].GameName,Lvl 5,Lvl 5
ModifierClimb_GameName,Climb Modifier,クライミング調整
ModifierClimb_Statuses[0].GameName,Climb Modifier 1,クライミング調整１
ModifierClimb_Statuses[1].GameName,Climb Modifier 2,クライミング調整２
ModifierClimb_Statuses[2].GameName,Climb Modifier 3,クライミング調整３
ModifierClimb_NotEnoughText,Can't climb in this state.,この状態だと登れない。
Workplace_GameName,Workplace,作業部屋
Workplace_Description,"Shows how good your workplace is. Gives you a bonus to crafting. Can be increased by placing chairs, tables and other equipment.",作業部屋の質を示す。クラフティングをしやする。椅子、テーブルなどを置くとさらに作業が楽になる。
Workplace_Statuses[0].GameName,Workplace,作業部屋
Workplace_Statuses[0].Description,Minor Effect,しょぼい
Workplace_Statuses[1].GameName,Workplace,作業部屋
Workplace_Statuses[1].Description,Moderate Effect,普通
Workplace_Statuses[2].GameName,Workplace,作業部屋
Workplace_Statuses[2].Description,Major Effect,贅沢
Wounds_GameName,Wounded,怪我している
Wounds_Statuses[0].GameName,Light Wounds,小さい傷
Wounds_Statuses[1].GameName,Minor Wounds,軽い傷
Wounds_Statuses[2].GameName,Moderate Wounds,傷
Wounds_Statuses[2].Description,It hurts!,痛い！
Wounds_Statuses[3].GameName,Serious Wounds,ひどい傷
Wounds_Statuses[3].Description,Hurts so much!,すごく痛い！
Wounds_Statuses[4].GameName,Extreme Wounds,かなりひどい傷
Wounds_Statuses[4].Description,Arghhh!!!,あぁぁ！！！
OnNotAxeAdv_NotEnoughText,I need a stronger axe for this,もっと強い斧が必要だ
Over_GameName,Inner Warmth,心の温もり
Over_Statuses[0].GameName,Inner Warmth,心の温もり
PotteryBonus_GameName,Pottery Bonus,陶器ボーナス
PotteryBonus_Statuses[0].GameName,Workplace,作業部屋
PotteryBonus_Statuses[0].Description,Minor Effect,軽度効果
PotteryWheelActionBonus_Statuses[0].GameName,Pottery Wheel,
Pregnancy_GameName,Pregnancy,妊娠
Pregnancy_Description,"Gives you nausea at its earlier stages, then increases your appetite and finally gives you a penalty to movement.",妊娠初期は、吐き気がする。徐々に食欲が増し、最終的に動きづらくなる。
Pregnancy_Statuses[0].GameName,Early Pregnancy,妊娠初期
Pregnancy_Statuses[1].GameName,Early Pregnancy,妊娠初期
Pregnancy_Statuses[2].GameName,Intermediate Pregnancy,妊娠中期
Pregnancy_Statuses[3].GameName,Intermediate Pregnancy,妊娠中期
Pregnancy_Statuses[4].GameName,Advaced Pregnancy,妊娠終期
Pregnancy_Statuses[5].GameName,Advaced Pregnancy,妊娠終期
Pregnancy_Statuses[6].GameName,-,妊娠終期
PsychoCounter_GameName,Pyscho Counter,サイコカウンター
Quinine_GameName,Quinine,キニーネ
Quinine_Description,"Kills parasites in your body, specially Malaria. Don't let it get too high though.",体内の寄生虫、特にマラリアを殺す。ただし、飲み過ぎに注意。
Quinine_Statuses[0].GameName,Low Quinine Dose,少量のキニーネ
Quinine_Statuses[1].GameName,Moderate Quinine Dose,適量のキニーネ
Quinine_Statuses[2].GameName,High Quinine Dose,大量のキニーネ
Quinine_Statuses[3].GameName,Quinine Overdose,キニーネの過剰摂取
RainKiller_GameName,Rain Killer,雨キラー
RainValue_GameName,Rain Value,雨の激しさ
RainValue_Description,How strong the rain is.,雨の強さを表示
RainValue_Statuses[0].GameName,Light Rain,小雨
RainValue_Statuses[1].GameName,Light Rain,小雨
RainValue_Statuses[2].GameName,Light Rain,小雨
RainValue_Statuses[3].GameName,Moderate Rain,雨
RainValue_Statuses[4].GameName,Strong Rain,大雨
RainValue_Statuses[5].GameName,No Rain,雨なし
RiceEffect_GameName,Rice Effect,米効果
RiceEffect_Description,Helps stabilize your stomach.,胃の状態を回復する。
RiceEffect_Statuses[0].GameName,Minor Rice Effect,軽い米効果
RiceEffect_Statuses[1].GameName,Major Rice Effect,重い米効果
RiverWaterLevelFloodedStatus_Statuses[0].EffectsOnActions[0].ActionAddedSuffix,flooded,
Sailed_GameName,Sailed,出航
Sailed_Statuses[0].GameName,Sailed,出航
SeaAgitation_GameName,Sea Agitation,波の激しさ
SeaAgitation_Statuses[0].GameName,Calm Waters,静かな海
SeaAgitation_Statuses[1].GameName,Mild agitation,軽い揺れ
SeaAgitation_Statuses[2].GameName,Medium Agitation,普通の揺れ
SeaAgitation_Statuses[3].GameName,Strong Agitation,激しい揺れ
SeaAgitation_Statuses[4].GameName,Storm Waters,嵐の海
SeaSickness_GameName,Sea Sickness,船酔い
SeaSickness_Statuses[0].GameName,Mild Nausea,軽い吐き気
SeaSickness_Statuses[1].GameName,Nausea,吐き気
SeaSickness_Statuses[2].GameName,Strong Nausea,ひどい吐き気
SeaSicknessResistance_GameName,Seamanship,海の男
SeaSicknessResistance_Statuses[0].GameName,No Resistance,耐性なし
SeaSicknessResistance_Statuses[1].GameName,Minor Resistance,軽い耐性
SeaSicknessResistance_Statuses[2].GameName,Medium Resistance,普通の耐性
SeaSicknessResistance_Statuses[3].GameName,High Resistance,すごい耐性
SeaSicknessResistance_Statuses[4].GameName,Extreme Resistance,完全耐性
Sheltered_GameName,Sheltered,保護されてる
Sheltered_Description,"Shows whether you're protected from the elements, such as wind and rain.",風や雨など、属性から守られてるかを示す。
Sheltered_Statuses[0].GameName,Sheltered,保護されてる
Sheltered_Statuses[0].Description,You are protected from the weather.,天気から守られてる。
Sheltered_Statuses[1].GameName,Unsheltered,保護されてない
Sheltered_Statuses[1].Description,You are not protected from the weather.,ここでは天気からダメージを受ける可能性がある。
Sheltered_NotEnoughText,Cannot be built here.,ここでは建てられない。
Sodium_GameName,Sodium,ナトリウム
Sodium_Description,Shows the level of sodium in your body. Will dehydrate you and make you nauseous when high.,体内のナトリウム濃度を示す。高いと脱水や吐き気の原因になる。
Sodium_Statuses[0].GameName,High Sodium Levels,高いナトリウム濃度
Sodium_Statuses[1].GameName,Very High Sodium Levels,かなり高いナトリウム濃度
Sodium_Statuses[2].GameName,Extreme Sodium Levels,高すぎるナトリウム濃度
SpiderLilyEffect_GameName,Spider Lily Effect,ヒガンバナ効果
SpiderLilyEffect_Description,Boost your immune system.,免疫力をブーストする
SpiderLilyEffect_Statuses[0].GameName,Moderate Spider Lily Effect,普通のヒガンバナ効果
SpiderLilyEffect_Statuses[1].GameName,Strong Spider Lily Effect,重いのヒガンバナ効果
SunAllergy_GameName,Sun Allergy,日光アレルギー
SunAllergy_Statuses[0].GameName,Sun Damage,日光ダメージ
SunAllergy_Statuses[0].Description,It burns!,ひりひりして痛い！
SunAllergy_Statuses[1].GameName,Severe Sun Damage,ひどい日焼け
SunAllergy_Statuses[1].Description,It burns! It burns!,焼け過ぎて痛い！痛い！！
SunAllergy_Statuses[2].GameName,Extreme Sun Damage,極度の日光ダメージ
SunAllergy_Statuses[2].Description,It burns! It burns! It burns!,暑い！痛い！痛い！！！
SunExposure_GameName,Sun Exposure,日光への露出
SunExposure_Description,How intense the contact the sun is having on your skin is.,太陽の肌への影響を示す。
SunExposure_Statuses[0].GameName,No Sun Exposure,日光への露出：なし
SunExposure_Statuses[1].GameName,Weak Sun Exposure,日光への露出：軽度
SunExposure_Statuses[2].GameName,Moderate Sun Exposure,日光への露出：普通
SunExposure_Statuses[3].GameName,Strong Sun Exposure,日光への露出：高度
SunScreenApplied_GameName,Sun Screen,日焼け止め
SunScreenApplied_Statuses[0].GameName,Sun Screen Applied,日焼け止めを塗った
SunStrength_GameName,Sun Strength,日差し
SunStrength_Description,Shows strong the sun is.,日差しの強さを示す
SunStrength_Statuses[0].GameName,No Sun Strength,日差しがない
SunStrength_Statuses[1].GameName,Low Sun Strength,日差しが弱い
SunStrength_Statuses[2].GameName,Moderate Sun Strength,日差しが普通
SunStrength_Statuses[3].GameName,High Sun Strength,日差しが強い
SwampWaterLevelFloodedStatus_Statuses[0].EffectsOnActions[0].ActionAddedSuffix,shallow waters,
SwampWaterLevelFloodedStatus_Statuses[1].EffectsOnActions[0].ActionAddedSuffix,deep waters,
SwampWaterLevelFrozenStatus_Statuses[0].EffectsOnActions[0].ActionAddedSuffix,frozen water,
TickCounter_GameName,Tick Counter,ダニカウンター
TickCounter_Statuses[0].GameName,Starting Morale Counter,初期の士気のカウンター
TickCounter_NotEnoughText,It's too dark for this action...,このアクションをするには暗すぎる・・・
Tides_GameName,Tides,潮
TravelStaminaPenalty_GameName,Travel Stamina Penalty,移動スタミナペナルティ
TravelStaminaPenalty_Statuses[0].GameName,Minor Travel Stamina Penalty,軽い移動スタミナペナルティ
TravelStaminaPenalty_Statuses[0].Description,Travel Actions cost extra stamina.,移動アクションは追加スタミナを消費する
TravelStaminaPenalty_Statuses[1].GameName,Moderate Travel Stamina Penalty,普通の移動スタミナペナルティ
TravelStaminaPenalty_Statuses[1].Description,Travel Actions cost extra stamina.,移動アクションは追加スタミナを消費する
TravelStaminaPenalty_Statuses[2].GameName,Strong Travel Stamina Penalty,重い移動スタミナペナルティ
TravelStaminaPenalty_Statuses[2].Description,Travel Actions cost extra stamina.,移動アクションは追加スタミナを消費する
TravelStaminaPenalty_NotEnoughText,My Arm is not in shape for this action.,腕が今の状態だとこのアクションは起こせない。
UphillTravelingPenalty_Statuses[0].EffectsOnActions[0].ActionAddedSuffix,uphill,上り坂
Wind_GameName,Wind,風
Wind_Statuses[0].GameName,Level 1,Lvl 1
Wind_Statuses[1].GameName,Level 1,Lvl 1
Wind_Statuses[2].GameName,Level 2,Lvl 2
Wind_Statuses[3].GameName,Level 2,Lvl 2
Wind_Statuses[4].GameName,Level 3,Lvl 3
Wind_Statuses[5].GameName,Level 3,Lvl 3
HagActive_GameName,Hag Active,
HagBargainFear_Description,Nukes player perception in EncounterWindow and gives 1 confidence modifier when bigger than 1.,
HagFavour_GameName,Hag Favour,
HummingWidowDispelSwarms_GameName,Dispel Swarms,
HummingWidowDispelSwarms_Statuses[0].GameName,Dispel Swarms,
Agent_BearExists_GameName,Bear Exists,クマが存在する
Agent_BoarExists_GameName,Boar Exists,イノシシが存在する
Agent_BoarExists2_GameName,Boar Exists,イノシシが存在する
Agent_DoeExists_GameName,Doe Exists,雌鹿が存在する
Agent_ForestBeastExists_GameName,Forest Beast Exists,森の巨獣が存在する
Agent_HareExists_GameName,Hare Exists,ノウサギが存在する
Agent_PartridgeExists_GameName,Partridge Exists,ヤマウズラが存在する
Agent_PartridgeExists2_GameName,Partridge Exists,ヤマウズラが存在する
Agent_StagExists_GameName,Stag Exists,雄鹿が存在する
Pop_Badger_GameName,Population Badger,アナグマの数
Pop_Badger_Statuses[0].GameName,Small Population,数が少ない
Pop_Badger_Statuses[1].GameName,Medium Population,数が普通
Pop_Badger_Statuses[2].GameName,Large Population,数が多い
Pop_Badger_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Badger_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Bear_GameName,Population Bear,クマの数
Pop_Bear_Statuses[0].GameName,Small Population,数が少ない
Pop_Beaver_GameName,Population Beaver,
Pop_Beaver_Statuses[0].GameName,Small Population,数が少ない
Pop_Beaver_Statuses[1].GameName,Medium Population,数が普通
Pop_Beaver_Statuses[2].GameName,Large Population,数が多い
Pop_Beaver_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Beaver_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Boar_GameName,Population Boars,イノシシの数
Pop_Boar_Statuses[0].GameName,Small Population,数が少ない
Pop_Boar_Statuses[1].GameName,Medium Population,数が普通
Pop_Boar_Statuses[2].GameName,Large Population,数が多い
Pop_Boar_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Boar_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Doe_GameName,Population Doe,雌鹿の数
Pop_Doe_Statuses[0].GameName,Small Population,数が少ない
Pop_Doe_Statuses[1].GameName,Medium Population,数が普通
Pop_Doe_Statuses[2].GameName,Large Population,数が多い
Pop_Doe_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Doe_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_DuckQWE_GameName,Population Ducks,カモの数
Pop_DuckQWE_Statuses[0].GameName,Small Population,数が少ない
Pop_DuckQWE_Statuses[1].GameName,Medium Population,数が普通
Pop_DuckQWE_Statuses[2].GameName,Large Population,数が多い
Pop_DuckQWE_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_DuckQWE_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Fish_GameName,Population Fish,魚の数
Pop_Fish_Statuses[0].GameName,Small Population,数が少ない
Pop_Fish_Statuses[1].GameName,Medium Population,数が普通
Pop_Fish_Statuses[2].GameName,Large Population,数が多い
Pop_Fish_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Fish_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Fox_GameName,Population Fox,キツネの数
Pop_Fox_Statuses[0].GameName,Small Population,数が少ない
Pop_Fox_Statuses[1].GameName,Medium Population,数が普通
Pop_Fox_Statuses[2].GameName,Large Population,数が多い
Pop_Fox_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Fox_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Frog_GameName,Population Frog,カエルの数
Pop_Frog_Statuses[0].GameName,Small Population,数が少ない
Pop_Frog_Statuses[1].GameName,Medium Population,数が普通
Pop_Frog_Statuses[2].GameName,Large Population,数が多い
Pop_Frog_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Frog_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Hare_GameName,Population Fox,キツネの数
Pop_Hare_Statuses[0].GameName,Small Population,数が少ない
Pop_Hare_Statuses[1].GameName,Medium Population,数が普通
Pop_Hare_Statuses[2].GameName,Large Population,数が多い
Pop_Hare_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Hare_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Mouse_GameName,Population Mouse,ネズミの数
Pop_Mouse_Statuses[0].GameName,Small Population,数が少ない
Pop_Mouse_Statuses[1].GameName,Medium Population,数が普通
Pop_Mouse_Statuses[2].GameName,Large Population,数が多い
Pop_Mouse_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Mouse_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Partridge_GameName,Population Partridges,ヤマウズラの数
Pop_Partridge_Statuses[0].GameName,Small Population,数が少ない
Pop_Partridge_Statuses[1].GameName,Medium Population,数が普通
Pop_Partridge_Statuses[2].GameName,Large Population,数が多い
Pop_Partridge_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Partridge_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
Pop_Squirrel_GameName,Population Squirrel,リスの数
Pop_Squirrel_Statuses[0].GameName,Small Population,数が少ない
Pop_Squirrel_Statuses[1].GameName,Medium Population,数が普通
Pop_Squirrel_Statuses[2].GameName,Large Population,数が多い
Pop_Squirrel_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Wolf_GameName,Population Wolf,狼の数
Pop_Wolf_Statuses[0].GameName,Small Population,数が少ない
Pop_Wolf_Statuses[1].GameName,Medium Population,数が普通
Pop_Wolf_Statuses[2].GameName,Large Population,数が多い
Pop_Wolf_Statuses[3].GameName,Very Large Population,数がすごく多い
Pop_Wolf_NotEnoughText,It's to dark for this action...,暗くてアクションが起こせない・・・
AnxietyCounter_GameName,Anxiety Counter,緊張カウンター
BloodSpilled_GameName,Blood Spilled,流した血
NightmareCounter_GameName,Nightmare Counter,悪夢カウンター
PredatorCounter_GameName,Predator Counter,プレデターカウンター
PredatorCounterResult_GameName,Predator Counter Result,プレデターカウンター結果
SleepClock_GameName,Sleep Clock,睡眠の時計
VomitCounter_GameName,Vomit Counter,嘔吐カウンター
WaveCounter_GameName,WaveCounter,波カウンター
WaveCounter_NotEnoughText,It's too stormy to sleep!,嵐のせいで寝れない！
FishingLightAmount_Statuses[0].GameName,Night,夜
FishingLightAmount_Statuses[1].GameName,Dusk or Dawn,夕暮れまたは夜明け
WaterCover_GameName,WaterCover,N/A
WaterOxygen_GameName,WaterOxygen,N/A
WaterSize_GameName,WaterSize,N/A
WaterTemperature_GameName,WaterTemperature,N/A
MoodOscillator_GameName,Mood Oscillator,N/A
Skill_ClubFighting_GameName,ClubFighting,金棒使い
Skill_ClubFighting_Description,Shows how good you are at using clubs. Increases your success chances when hunting with this weapon.,金棒を使う上手さを示す。この武器を使う時の狩猟の成功率を上げる。
Skill_CombatExperience_GameName,Combat Experience,戦闘経験
Skill_CombatExperience_Description,How experienced you are at fighting,戦闘の経験の豊富さ
Skill_Cooking_GameName,Cooking,料理のスキル
Skill_Cooking_Description,Shows how good you are at cooking. Unlocks new recipes as it gets higher.,料理の上手さを示す。向上したら、新しいレシピをアンロックする。
Skill_Handguns_GameName,Handguns,手銃のスキル
Skill_Handguns_Description,Shows how good you are with handguns. Increases your success chances when hunting with these weapons.,手銃を使う上手さを示す。向上したら、手銃で狩猟する時の成功率が上がる。
Skill_Metalworking_GameName,Metalworking,金工のスキル
Skill_Metalworking_Description,Shows how good you are at working with metal. Unlocks new recipes as it gets higher.,金工の上手さを示す。向上したら、新しいレシピをアンロックする。
Skill_Percussion_GameName,Percussion,ドラムのスキル
Skill_Percussion_Description,Shows how good you are at playing percussive instruments. Unlocks new rhythms as it gets higher.,ドラムを弾く上手さを示す。向上したら、新しいリズムがアンロックする。
Skill_Percussion_NotEnoughText,Not enough skill.,スキルが足りない。
Skill_Sling_GameName,Sling,スリングショットのスキル
Skill_Sling_Description,Shows how good you are at using slings. Increases your success chances when hunting with this weapon.,スリングショットの上手さを示す。この武器を使う時の狩猟の成功率を上げる。
Skill_Swimming_GameName,Swimming,水泳
Skill_Swimming_Description,Shows how good you are at swimming. Increases your chances of reaching difficult places and finding good things when diving,泳ぐ上手さを示す。ダイビング中、珍しい物を見つける確率が上がり、たどり着くのが難しい場所に行けるようになる。
Skill_Swimming_NotEnoughText,Not enough skill!,スキルが足りない！
Skill_Swimming_TooMuchText,Too much skill!,スキルがありすぎる！
Skill_PerceptionQWE_GameName,Perception,知覚
Skill_ProfileQWE_GameName,Profile,プロフィール
Skill_Archery_GameName,Archery,弓術
Skill_Archery_Description,Increases your success chances when hunting with a bow.,弓を使った狩猟の成功率を高める。
Skill_AxeFighting_GameName,Axe Fighting,斧バトル
Skill_AxeFighting_Description,Increases your success chances when fighting with axes.,斧で戦う時の成功率が上がる。
Skill_ButcheringQQQ_GameName,Butchering,解体
Skill_ButcheringQQQ_Description,Increases the quality of the meat extracted from animals.,動物から得られる肉の品質を高める。
Skill_Climbing_GameName,Climbing,クライミングのスキル
Skill_Climbing_Description,Lowers your chances of getting hurt when climbing.,クライミングで怪我する可能性が低くなる
Skill_Crafting_GameName,Crafting,クラフティング
Skill_Crafting_Description,Increases the quality of some of your crafts.,いくつかの作った物のクオリティが高くなる
Skill_Fishing_GameName,Fishing,釣り
Skill_Fishing_Description,Increases your chances of success and the quality of the fish when fishing.,魚釣りの成功率と釣った魚のクオリティが高くなる。
Skill_Fishing_NotEnoughText,Fishing Skill too low,釣りのスキルが低すぎる
Skill_Herbology_GameName,Herbalism,薬草学
Skill_Herbology_Description,Increases your chances of finding useful plants when foraging and increases the quality of your brews and medicines.,資源集めする時に役に立つ植物が見つかる確率と調合のクオリティが上がる。
Skill_Insight_GameName,Insight,洞察力
Skill_Insight_Description,Increases your chances of completing magical rituals succesfully.,魔法の儀式の成功率が上がる。
Skill_Insight_NotEnoughText,Not enough Insight.,洞察力が足りない
Skill_Knapping_GameName,Knapping,石工のスキル
Skill_Knapping_Description,Increases the quality of your flint crafts.,石工のクオリティを上げる。
Skill_KnifeFighting_GameName,Knife Fighting,ナイフのスキル
Skill_KnifeFighting_Description,Increases your success chances when fighting with knives.,ナイフで戦う時の成功率が上がる。
Skill_Leatherworking_GameName,Leatherworking,革加工のスキル
Skill_Leatherworking_Description,"Increases the quality of your leather crafts, such as clothes and bags.",服やカバンなど、革で作った物のクオリティが高くなる。
Skill_Pottery_GameName,Pottery,陶芸のスキル
Skill_Pottery_Description,Increases the quality of your clay crafts.,粘土細工の質が向上する。
Skill_RockThrowing_GameName,Rock Throwing,石投げのスキル
Skill_RockThrowing_Description,Increases your success chances when throwing rocks.,石投げる成功率が高くなる。
Skill_Smithing_GameName,Smithing,鍛造
